id,name,category,price,stock,image,description
1,Блокнот,basic,0,7,Блокнот.jpeg,Корпоративный блокнот для записей
2,Ремувка,basic,0,70,Ремувка.jpeg,"Стильный аксессуар, брелок для ключей или сумок"
3,Бутылка для воды,basic,0,500,bottle.png,Спортивная бутылка для воды
4,Плед,basic,0,70,Плед.jpeg,Мягкий плед для уюта
5,Коврик для мышки,basic,0,55,коврик для мыши.jpg,Коврик для компьютерной мыши
6,Дождевик,medium,0,28,дождевик.jpg,Лёгкий дождевик для защиты от дождя
7,Рюкзак,medium,0,19,рюкзак.jpg,Городской рюкзак для повседневного использования
8,Шоппер прозрачный,medium,0,30,шоппер.jpg,Удобная сумка-шоппер
9,Диффузор,medium,0,70,диффузор.avif,Ароматический диффузор для помещения
10,Подушка для самолёта,medium,0,45,подушка для самолета.jpg,Дорожная подушка для путешествий
11,Футболка чёрная,premium,0,62,футболка черная.jpg,Качественная футболка из натурального хлопка
12,Футболка белая,premium,0,89,футболка белая.jpg,Качественная футболка из натурального хлопка
13,Худи белое,premium,0,21,худи белое.jpg,Тёплое худи для комфортной носки
14,Худи со смайликом,premium,0,43,худи черное.jpg,Стильное худи с принтом смайлика
15,Футболка со смайликом,premium,0,38,футболка черная.jpg,Футболка с весёлым принтом
